,District_Name,Total_Operating_Revenue,Student_Count,per_student_budget,Latitude,Longitude
0,cayuga isd,8558886.0,564.0,15175,31.922572,-95.973648
3,elkhart isd,11696322.0,1254.0,9327,31.62245863,-95.5816751
8,frankston isd,8802724.0,803.0,10962,32.0610368,-95.50696293
11,neches isd,4021890.0,366.0,10989,31.874916,-95.495787
14,palestine isd,36374344.0,3389.0,10733,31.75775551,-95.61799731
20,westwood isd,15231722.0,1518.0,10034,31.72719211,-95.68118219
24,slocum isd,4151210.0,406.0,10225,31.632045,-95.462142
27,andrews isd,40057067.0,4314.0,9285,32.32099918,-102.551191
33,pineywoods community academy,9395002.0,1022.0,9193,31.33266083,-94.73220624
35,hudson isd,26374102.0,2957.0,8919,31.315735,-94.828386
40,lufkin isd,78461859.0,7827.0,10025,31.33937115,-94.72967692
58,huntington isd,16947679.0,1659.0,10216,31.263539,-94.573865
63,diboll isd,19946513.0,1870.0,10667,31.18618301,-94.78189472
69,zavalla isd,4402564.0,360.0,12229,31.15872513,-94.42183676
72,central isd,15057245.0,1465.0,10278,31.42868869,-94.81239558
76,aransas county isd,33039677.0,2826.0,11691,28.040669,-97.045006
81,archer city isd,6010773.0,505.0,11903,33.58820087,-98.63009172
83,holliday isd,8762606.0,1046.0,8377,33.809007,-98.688912
86,windthorst isd,4498794.0,403.0,11163,33.574091,-98.439122
89,claude isd,3895489.0,358.0,10881,35.106296,-101.366248
91,charlotte isd,6451488.0,469.0,13756,28.862161,-98.703265
96,jourdanton isd,15669536.0,1606.0,9757,28.90869067,-98.53975411
102,lytle isd,16842567.0,1724.0,9769,29.237035,-98.80709
108,pleasanton isd,33849355.0,3555.0,9522,28.96605718,-98.49260327
116,poteet isd,15923027.0,1695.0,9394,29.04711,-98.565391
121,bellville isd,22354620.0,2221.0,10065,29.9444988,-96.25680224
127,sealy isd,28890692.0,2751.0,10502,29.77405248,-96.16126955
131,brazos isd,8740327.0,825.0,10594,29.61900166,-96.03746454
135,muleshoe isd,16183678.0,1414.0,11445,34.22383603,-102.7324897
140,medina isd,4122340.0,306.0,13472,29.799599,-99.248349
141,bandera isd,20833713.0,2230.0,9342,29.72375336,-99.07681196
145,bastrop isd,104152991.0,11043.0,9432,30.11281917,-97.31640945
161,elgin isd,46541069.0,4438.0,10487,30.35251329,-97.37756888
168,smithville isd,18906802.0,1800.0,10504,29.99801,-97.166064
173,mcdade isd,3960976.0,382.0,10369,30.28322051,-97.23952864
174,seymour isd,7154573.0,582.0,12293,33.59304465,-99.26551155
177,st mary's academy charter school,4822768.0,430.0,11216,28.40816693,-97.74423503
178,beeville isd,30988136.0,3305.0,9376,28.40290703,-97.748699
184,pawnee isd,4289446.0,318.0,13489,28.651555,-98.00434
185,pettus isd,6417847.0,417.0,15391,28.62397144,-97.80064256
187,skidmore-tynan isd,8554558.0,826.0,10357,28.25395115,-97.68676394
191,priority charter schools,9686360.0,789.0,12277,31.09042848,-97.32608858
196,orenda charter school,12379169.0,1719.0,7201,30.66231724,-97.69125154
201,academy isd,14047027.0,1641.0,8560,30.9814118,-97.34395782
206,bartlett isd,4138569.0,342.0,12101,30.796769,-97.422253
209,belton isd,106352764.0,11861.0,8967,31.08723,-97.47017
225,holland isd,8450980.0,656.0,12883,30.88089941,-97.40986001
230,killeen isd,417225385.0,44919.0,9288,31.111575,-97.697943
285,rogers isd,8327294.0,867.0,9605,30.928945,-97.229804
290,salado isd,16276462.0,1948.0,8355,30.966073,-97.538511
296,temple isd,83071222.0,8698.0,9551,31.10216881,-97.35220349
313,troy isd,14004531.0,1539.0,9100,31.210783,-97.306362
319,por vida academy,5622129.0,228.0,24658,29.38617219,-98.49001619
322,george gervin academy,12216697.0,1054.0,11591,29.49110911,-98.42832721
325,school of excellence in education,7896749.0,649.0,12168,29.48864363,-98.51760234
332,southwest preparatory school,12258391.0,983.0,12470,29.48901856,-98.44359911
338,bexar county academy,3900701.0,349.0,11177,29.468961,-98.572234
339,positive solutions charter school,1340820.0,131.0,10235,29.43805594,-98.50284679
342,lighthouse charter school,2908518.0,332.0,8761,29.402541,-98.636172
344,school of science and technology,17983138.0,1851.0,9715,29.482475,-98.597104
346,harmony science acad (san antonio),43471162.0,4512.0,9635,29.431241,-98.653113
354,basis texas,21837817.0,2597.0,8409,29.520461,-98.590055
356,great hearts texas,31734462.0,3615.0,8779,29.43276288,-98.48234914
