District Name,Year,Total Operating Revenue,Student Count,Campus Name,County Name,Region,Region Name,ERW,SAT Math,SAT Total,ACT English,ACT Math,ACT Reading,ACT Science,ACT Compos,per student budget
houston isd,2022,2535319349.0,193727,DeBakey HS for Health Prof,Harris County,4.0,Houston,631.0,645.0,1275.0,27.9,27.9,27.1,26.5,27.5,13087
houston isd,2022,2535319349.0,193727,South ECHS,Harris County,4.0,Houston,496.0,481.0,977.0,15.6,15.0,18.7,15.9,16.3,13087
houston isd,2022,2535319349.0,193727,Bellaire HS,Harris County,4.0,Houston,574.0,563.0,1137.0,26.5,25.8,27.4,26.1,26.6,13087
houston isd,2022,2535319349.0,193727,Furr HS,Harris County,4.0,Houston,418.0,405.0,824.0,15.7,16.0,17.0,18.0,17.0,13087
houston isd,2022,2535319349.0,193727,Jones Futures Academy,Harris County,4.0,Houston,458.0,453.0,911.0,17.8,19.8,22.3,22.5,20.8,13087
houston isd,2022,2535319349.0,193727,Lamar HS,Harris County,4.0,Houston,525.0,504.0,1029.0,24.1,23.0,26.0,23.9,24.4,13087
houston isd,2022,2535319349.0,193727,Milby HS,Harris County,4.0,Houston,431.0,419.0,851.0,18.2,17.0,13.4,15.0,16.1,13087
houston isd,2022,2535319349.0,193727,Heights HS,Harris County,4.0,Houston,507.0,480.0,987.0,22.7,21.8,24.3,23.3,23.1,13087
houston isd,2022,2535319349.0,193727,Sterling HS,Harris County,4.0,Houston,433.0,412.0,845.0,14.9,17.8,16.8,20.4,17.5,13087
houston isd,2022,2535319349.0,193727,Waltrip HS,Harris County,4.0,Houston,460.0,441.0,902.0,18.0,19.0,21.7,19.7,19.8,13087
houston isd,2022,2535319349.0,193727,Westbury HS,Harris County,4.0,Houston,435.0,428.0,863.0,13.3,16.0,12.8,16.3,14.5,13087
houston isd,2022,2535319349.0,193727,Yates HS,Harris County,4.0,Houston,390.0,386.0,776.0,14.6,15.3,17.6,15.6,15.9,13087
houston isd,2022,2535319349.0,193727,Kinder HS for Performing,Harris County,4.0,Houston,638.0,594.0,1232.0,27.1,23.9,28.5,26.1,26.5,13087
houston isd,2022,2535319349.0,193727,Chavez HS,Harris County,4.0,Houston,463.0,460.0,923.0,19.1,19.4,21.4,19.6,20.0,13087
houston isd,2022,2535319349.0,193727,Westside HS,Harris County,4.0,Houston,536.0,523.0,1058.0,22.2,21.4,24.4,22.9,22.8,13087
houston isd,2022,2535319349.0,193727,Sharpstown International School,Harris County,4.0,Houston,513.0,498.0,1011.0,22.5,20.5,23.5,21.5,22.0,13087
houston isd,2022,2535319349.0,193727,Texas Connections Academy,Harris County,4.0,Houston,564.0,520.0,1083.0,23.0,20.5,25.0,22.8,22.9,13087
houston isd,2022,2535319349.0,193727,North Houston ECHS,Harris County,4.0,Houston,514.0,508.0,1022.0,18.4,17.2,18.6,18.2,18.4,13087
houston isd,2022,2535319349.0,193727,Houston Math Science,Harris County,4.0,Houston,425.0,411.0,836.0,14.3,17.0,17.3,17.0,16.7,13087
houston isd,2022,2535319349.0,193727,Mount Carmel Academy,Harris County,4.0,Houston,467.0,449.0,916.0,22.5,23.5,28.0,25.0,24.5,13087
houston isd,2022,2535319349.0,193727,Carnegie Vanguard HS,Harris County,4.0,Houston,682.0,690.0,1372.0,29.2,28.7,29.8,28.4,29.2,13087
houston isd,2022,2535319349.0,193727,Challenge ECHS,Harris County,4.0,Houston,559.0,531.0,1090.0,23.7,22.7,23.5,23.1,23.5,13087
houston isd,2022,2535319349.0,193727,East ECHS,Harris County,4.0,Houston,538.0,532.0,1069.0,21.0,18.5,21.0,22.0,21.0,13087
houston isd,2022,2535319349.0,193727,Houston Academy,Harris County,4.0,Houston,548.0,510.0,1058.0,20.9,18.7,21.3,19.8,20.2,13087
