,District_Name,Year,Total_Operating_Revenue,Student_Count,Campus_Name,County_Name,Region,Region_Name,ERW,SAT_Math,SAT_Total,ACT_English,ACT_Math,ACT_Reading,ACT_Science,ACT_Compos,per_student_budget,Latitude,Longitude
4,houston isd,2022,2535319349,193727,jones futures academy,Harris County,4,Houston,458,453,911,17.8,19.8,22.3,22.5,20.8,13087,29.67510155,-95.34228549
15,houston isd,2022,2535319349,193727,sharpstown international school,Harris County,4,Houston,513,498,1011,22.5,20.5,23.5,21.5,22.0,13087,29.69791286,-95.53116332
19,houston isd,2022,2535319349,193727,mount carmel academy,Harris County,4,Houston,467,449,916,22.5,23.5,28.0,25.0,24.5,13087,29.66072995,-95.30173953
25,houston isd,2022,2535319349,193727,young women's college prep academy,Harris County,4,Houston,536,508,1044,20.9,19.2,22.2,20.3,20.8,13087,29.73045083,-95.37451291
29,dallas isd,2022,1906648921,143430,school for the talented and gifted,Dallas County,10,Richardson,683,687,1370,30.0,28.6,29.9,27.7,29.2,13293,32.75130632,-96.80685991
51,dallas isd,2022,1906648921,143430,judge barefoot sanders law magnet,Dallas County,10,Richardson,569,548,1118,21.1,21.3,22.4,20.6,21.4,13293,32.75130632,-96.80685991
56,dallas isd,2022,1906648921,143430,school of health professions,Dallas County,10,Richardson,555,531,1086,19.4,20.1,21.7,21.0,20.7,13293,32.75130632,-96.80685991
59,dallas isd,2022,1906648921,143430,booker t washington spva magnet,Dallas County,10,Richardson,561,519,1080,22.7,19.9,24.0,21.3,22.1,13293,32.69241,-96.826754
60,dallas isd,2022,1906648921,143430,school of business and management,Dallas County,10,Richardson,547,538,1085,19.0,20.2,20.9,20.7,20.3,13293,32.75130632,-96.80685991
63,dallas isd,2022,1906648921,143430,school of science and engineering,Dallas County,10,Richardson,642,679,1321,26.0,28.8,27.1,26.5,27.2,13293,32.75130632,-96.80685991
88,northside isd,2022,1138808904,101584,northside school,Wilbarger County,9,Wichita Falls,501,471,973,19.6,18.7,20.1,19.0,19.7,11210,34.30540597,-99.29892465
117,fort worth isd,2022,987506836,74326,young women's leadership academy,Tarrant County,11,Fort Worth,536,496,1032,18.6,18.0,20.3,19.1,19.1,13286,32.73105145,-97.33638934
122,fort worth isd,2022,987506836,74326,young men's leadership academy,Tarrant County,11,Fort Worth,488,486,974,16.4,17.1,17.0,17.7,17.2,13286,32.76019346,-97.3604413
123,fort worth isd,2022,987506836,74326,texas academy of biomedical,Tarrant County,11,Fort Worth,534,526,1060,19.6,20.6,20.8,20.7,20.5,13286,32.7380281,-97.37921891
124,fort worth isd,2022,987506836,74326,world languages institute,Tarrant County,11,Fort Worth,503,470,974,17.4,17.8,18.2,18.1,18.1,13286,32.76019346,-97.3604413
142,idea public schools,2022,941462208,67988,idea carver college preparatory,Hidalgo County,1,Edinburg,583,613,1197,18.1,18.6,20.2,19.2,19.2,13847,29.421756,-98.47249
145,idea public schools,2022,941462208,67988,idea edinburg college preparatory,Hidalgo County,1,Edinburg,545,550,1095,20.6,19.5,21.1,20.5,20.6,13847,26.327807,-98.15007
146,idea public schools,2022,941462208,67988,idea frontier college preparatory,Hidalgo County,1,Edinburg,529,488,1017,20.4,19.4,21.7,20.7,20.7,13847,25.88605543,-97.4248903
175,north east isd,2022,707122305,59445,international school of america,Bexar County,20,San Antonio,578,555,1133,26.8,23.8,27.0,25.0,25.8,11895,29.507016,-98.515631
197,el paso isd,2022,646906493,50709,silva health magnet,El Paso County,19,El Paso,548,518,1066,21.3,19.7,22.7,22.0,21.5,12757,31.76981826,-106.4328974
240,san antonio isd,2022,676023494,44568,young men's leadership academy,Bexar County,20,San Antonio,480,471,951,16.0,17.7,18.8,19.0,18.0,15168,29.422703,-98.406626
248,san antonio isd,2022,676023494,44568,young women's leadership academy,Bexar County,20,San Antonio,580,561,1141,23.8,22.9,25.3,23.2,23.9,15168,29.41742962,-98.48735349
336,irving isd,2022,387775780,32339,jack e singley academy,Dallas County,10,Richardson,484,469,952,14.7,16.6,16.8,16.7,16.3,11990,32.87271178,-96.95921391
369,grand prairie isd,2022,342899236,27284,grand prairie fine arts academy,Dallas County,10,Richardson,555,520,1075,21.6,20.1,22.3,21.0,21.6,12567,32.75286736,-97.00572377
373,grand prairie isd,2022,342899236,27284,grand prairie collegiate institute,Dallas County,10,Richardson,600,590,1190,20.6,21.6,22.6,19.2,21.1,12567,32.74217903,-97.00006847
399,judson isd,2022,291044726,24517,judson early college academy,Bexar County,20,San Antonio,551,525,1076,22.2,20.9,22.1,22.1,22.0,11871,29.548913,-98.325773
404,goose creek cisd,2022,289890848,23833,goose creek memorial,Harris County,4,Houston,548,528,1076,13.5,15.9,15.4,16.6,15.5,12163,29.823692,-94.97095
489,grapevine-colleyville isd,2022,147319110,13930,iuniversity prep,Tarrant County,11,Fort Worth,607,573,1180,24.6,22.3,25.2,23.8,24.1,10575,32.9202284,-97.11722957
518,deer park isd,2022,161457479,12327,deer park hs,Harris County,4,Houston,540,542,1081,21.0,21.6,22.7,22.1,22.1,13097,29.68906747,-95.13213394
551,manor isd,2022,109581822,9029,manor new technology high,Travis County,13,Austin,456,436,892,20.0,20.3,21.0,19.3,20.0,12136,30.423365,-97.647996
569,great hearts texas,2022,90225728,8136,great hearts monte vista north,Bexar County,20,San Antonio,579,555,1134,27.2,24.3,28.1,23.5,25.8,11089,29.43276288,-98.48234914
614,life school,2022,72202880,5558,life school oak cliff,Dallas County,10,Richardson,453,425,879,16.0,18.0,17.5,18.5,17.5,12990,32.69134791,-96.82259074
794,orenda charter school,2022,22091500,1900,gateway college preparatory school,Bell County,12,Waco,580,543,1123,22.2,22.3,25.5,23.3,23.5,11627,30.66231724,-97.69125154
807,lorena isd,2022,20330034,1764,lorena high,McLennan County,12,Waco,540,551,1092,20.7,21.8,23.0,22.7,22.2,11524,31.389839,-97.222205
817,meridian world school llc,2022,18236310,1683,meridian world school llc,Williamson County,13,Austin,654,640,1295,24.8,23.3,26.3,24.7,24.9,10835,30.537624,-97.690495
858,high point academy,2022,17366478,1431,high point academy,Tarrant County,11,Fort Worth,524,492,1015,26.3,24.3,32.7,25.0,27.3,12135,32.78422661,-97.30188284
862,nyos charter school,2022,17223621,1422,nyos charter school,Travis County,13,Austin,591,570,1161,27.2,24.9,27.3,26.3,26.4,12112,30.40183982,-97.67791349
867,compass academy charter school,2022,13322994,1371,compass academy charter school,Ector County,18,Midland,510,502,1012,14.5,18.5,17.0,17.0,17.0,9717,31.86873094,-102.326365
868,ume preparatory academy,2022,15525456,1365,ume preparatory academy,Dallas County,10,Richardson,543,501,1044,27.3,24.7,30.0,26.3,27.0,11373,32.695281,-96.934587
889,village tech schools,2022,14785373,1232,village tech schools,Dallas County,10,Richardson,503,467,970,19.0,19.3,19.7,18.0,19.0,12001,32.574556,-96.920038
891,aristoi classical academy,2022,13878358,1219,aristoi classical upper school,Harris County,4,Houston,551,533,1084,24.8,24.0,27.3,22.5,24.7,11385,29.78811294,-95.82098075
909,advantage academy,2022,14416866,1138,advantage academy,Dallas County,10,Richardson,433,398,831,14.5,15.8,17.5,17.5,16.3,12668,32.71331984,-97.0180905
980,westlake academy charter school,2022,10106815,877,westlake academy,Tarrant County,11,Fort Worth,646,660,1306,26.7,25.2,26.4,25.6,26.1,11524,32.97225234,-97.21165053
1014,george gervin academy,2022,11168504,776,george gervin academy,Bexar County,20,San Antonio,419,406,825,9.6,13.0,11.5,11.1,11.5,14392,29.49110911,-98.42832721
1016,shelbyville isd,2022,11130307,773,shelbyville school,Shelby County,7,Kilgore,512,512,1024,19.4,19.9,21.0,20.7,20.5,14398,31.76232,-94.075687
1037,tioga isd,2022,9915235,706,tioga school,Grayson County,10,Richardson,512,506,1018,19.7,22.0,24.3,23.5,22.7,14044,33.471134,-96.914099
1042,schulenburg isd,2022,10556034,696,schulenburg secondary,Fayette County,13,Austin,557,536,1093,17.0,18.8,18.0,18.2,18.0,15166,29.68451074,-96.89958605
1050,fort worth academy of fine arts,2022,6451668,653,fort worth academy of fine arts,Tarrant County,11,Fort Worth,569,519,1088,25.6,20.5,27.4,22.8,24.1,9880,32.69098805,-97.39322189
1058,flatonia isd,2022,9454321,629,flatonia secondary,Fayette County,13,Austin,524,520,1044,22.0,21.5,20.8,21.3,21.5,15030,29.68379091,-97.11441439
1061,riesel isd,2022,10710381,620,riesel school,McLennan County,12,Waco,465,440,905,27.5,27.5,31.0,31.5,29.5,17274,31.47525725,-96.93245864
1067,carlisle isd,2022,10023047,607,carlisle school,Rusk County,7,Kilgore,585,548,1133,19.0,18.7,23.3,19.7,20.3,16512,32.133421,-94.945963
1071,new home isd,2022,7354087,586,new home school,Lynn County,17,Lubbock,559,555,1114,24.0,23.6,25.4,23.5,24.3,12549,33.328269,-101.911779
1083,cushing isd,2022,8905856,554,cushing school,Nacogdoches County,7,Kilgore,470,477,947,17.3,18.2,18.5,18.5,18.2,16075,31.819431,-94.83671
1084,kerens isd,2022,10289676,552,kerens school,Navarro County,12,Waco,444,433,876,15.7,16.8,16.7,16.5,16.5,18640,32.122909,-96.226032
1094,snook isd,2022,8460726,529,snook secondary,Burleson County,6,Huntsville,478,472,950,12.2,17.1,16.4,15.8,15.7,15993,30.490697,-96.46751
1100,seagraves isd,2022,9930633,516,seagraves schools,Gaines County,17,Lubbock,496,501,997,17.5,20.9,20.5,20.3,19.9,19245,32.949677,-102.573275
1101,ropes isd,2022,7526657,514,ropes school,Hockley County,17,Lubbock,512,504,1016,18.7,18.9,20.5,20.2,19.7,14643,33.41286,-102.152961
1104,granger isd,2022,7649053,506,granger school,Williamson County,13,Austin,561,556,1117,22.3,23.8,22.5,21.3,22.5,15116,30.71982541,-97.43631216
1119,douglass isd,2022,6348687,456,douglass school,Nacogdoches County,7,Kilgore,583,542,1125,22.4,20.1,24.0,21.2,22.1,13922,31.665472,-94.882458
1120,colmesneil isd,2022,6465453,453,colmesneil jh/hs,Tyler County,5,Beaumont,567,470,1037,19.9,18.9,22.0,21.1,20.6,14272,30.908208,-94.428781
1129,knippa isd,2022,6040003,412,knippa school,Uvalde County,20,San Antonio,543,546,1089,18.9,21.9,22.7,20.9,21.2,14660,29.29914773,-99.63491184
1133,wheeler isd,2022,5774998,406,wheeler school,Wheeler County,16,Amarillo,520,575,1095,17.2,17.2,19.8,17.6,18.1,14224,35.447399,-100.273521
1136,pettus isd,2022,7287304,377,pettus secondary,Bee County,2,Corpus Christi,435,375,810,16.7,14.7,16.7,17.7,16.3,19329,28.62397144,-97.80064256
1143,dodd city isd,2022,4690199,328,dodd city school,Fannin County,10,Richardson,613,590,1203,19.7,19.6,21.6,20.6,20.4,14299,33.57798904,-96.07517689
